front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
NE,5,2,5,17,Yes,0,No,No,Yes,Yes,No,Yes,No,225,1,Yes,No,No,No,No,الرمال,East of Riyadh,1400000.0,6222.222222222223
N,4,2,5,20,Yes,0,No,No,Yes,No,Yes,Yes,No,252,1,Yes,No,No,No,No,الرمال,East of Riyadh,1650000.0,6547.619047619048
S,5,2,5,18,Yes,0,No,No,Yes,Yes,Yes,Yes,No,300,2,Yes,No,No,No,No,الرمال,East of Riyadh,1450000.0,4833.333333333333
N,4,2,5,18,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,750,2,Yes,No,No,No,No,الرمال,East of Riyadh,4100000.0,5466.666666666667
S,4,3,5,18,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,258,0,Yes,Yes,No,No,No,العارض,North of Riyadh,2850000.0,11046.511627906975
NE,7,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,1,Yes,No,No,No,No,بدر,South of Riyadh,1250000.0,3472.222222222222
N,5,1,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,360,2,Yes,No,No,No,No,طويق,West of Riyadh,1600000.0,4444.444444444444
SW,4,4,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,200,0,Yes,Yes,No,No,No,المهدية,West of Riyadh,1650000.0,8250.0
E,5,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,375,2,Yes,Yes,No,No,No,الشرق,East of Riyadh,1820000.0,4853.333333333333
E,7,3,5,15,Yes,0,Yes,No,No,Yes,Yes,Yes,No,250,1,Yes,Yes,No,No,No,النرجس,North of Riyadh,2900000.0,11600.0
S,3,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,312,2,Yes,No,No,No,No,الرمال,East of Riyadh,1850000.0,5929.48717948718
E,5,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,375,1,Yes,Yes,No,No,No,المهدية,West of Riyadh,2150000.0,5733.333333333333
N,7,2,5,15,Yes,0,No,No,No,Yes,No,No,Yes,230,0,No,No,No,No,No,بدر,South of Riyadh,930000.0,4043.478260869565
E,7,3,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,450,2,Yes,Yes,No,No,No,العارض,North of Riyadh,3500000.0,7777.777777777777
W,5,1,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,350,2,Yes,No,No,No,No,طويق,West of Riyadh,1550000.0,4428.571428571428
S,4,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,280,0,Yes,No,No,No,No,ديراب,West of Riyadh,1150000.0,4107.142857142857
N,7,2,4,20,No,5,Yes,Yes,No,Yes,Yes,Yes,No,400,2,No,No,No,No,No,طويق,West of Riyadh,1350000.0,3375.0
N,5,3,5,15,Yes,0,No,Yes,No,Yes,No,Yes,No,312,1,Yes,No,No,No,No,الرمال,East of Riyadh,1850000.0,5929.48717948718
N,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,230,0,Yes,No,No,No,No,طيبة,South of Riyadh,810000.0,3521.7391304347825
S,5,4,5,20,No,0,No,Yes,Yes,Yes,No,Yes,Yes,240,0,No,No,No,No,No,طويق,West of Riyadh,1050000.0,4375.0
S,3,2,5,20,No,0,No,No,No,Yes,Yes,Yes,Yes,273,0,Yes,No,Yes,No,No,العارض,North of Riyadh,2600000.0,9523.809523809525
SW,5,2,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,322,2,No,Yes,No,No,No,اليرموك,East of Riyadh,2500000.0,7763.975155279503
E,4,2,4,14,No,14,No,No,Yes,Yes,Yes,Yes,No,750,2,No,No,No,No,No,النهضة,East of Riyadh,2600000.0,3466.6666666666665
N,5,2,5,16,Yes,0,No,Yes,Yes,Yes,No,Yes,No,275,1,Yes,No,No,No,No,الدار البيضاء,South of Riyadh,1080000.0,3927.272727272728
N,7,3,5,15,No,3,Yes,No,No,Yes,Yes,Yes,Yes,310,3,Yes,Yes,No,No,No,العارض,North of Riyadh,2500000.0,8064.516129032258
NW,4,2,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الحزم,West of Riyadh,1450000.0,4833.333333333333
S,3,2,2,20,No,9,No,No,Yes,Yes,No,Yes,No,486,3,No,No,No,No,No,المونسية,East of Riyadh,2600000.0,5349.794238683127
S,6,2,2,24,Yes,3,No,No,No,Yes,No,No,No,403,1,No,No,No,No,No,عكاظ,South of Riyadh,1400000.0,3473.9454094292805
NE,5,2,5,18,Yes,0,No,Yes,Yes,Yes,No,Yes,No,264,1,No,No,No,No,No,الرمال,East of Riyadh,1400000.0,5303.030303030303
N,5,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1600000.0,5333.333333333333
N,5,3,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,No,375,3,No,No,No,No,No,طويق,West of Riyadh,1600000.0,4266.666666666667
W,7,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,305,2,Yes,No,No,No,No,الزهرة,West of Riyadh,1500000.0,4918.0327868852455
NE,5,2,5,20,Yes,15,No,Yes,Yes,Yes,Yes,Yes,No,900,0,No,No,No,No,No,ظهرة البديعة,West of Riyadh,2100000.0,2333.333333333333
W,5,2,5,15,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,250,0,Yes,No,No,No,No,طويق,West of Riyadh,1150000.0,4600.0
S,5,2,5,20,Yes,0,No,Yes,No,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1060000.0,3533.333333333333
N,7,1,5,18,No,0,No,Yes,Yes,Yes,Yes,Yes,No,360,0,No,No,No,No,No,عكاظ,South of Riyadh,980000.0,2722.222222222222
